bacia	pontos	Astyanax_lacustris	Astyanax_lineatus	Astyanax_sp1	Astyanax_sp2	Astyanax_sp3	Astyanax_eigenmanniorum	Astyanax_fasciatus	Apareiodon_ibitiensis	Ancistrus_sp	Astyanax_paranae	Apareiodon_piracicabae	Bryconamericus_exodon	Piabarchus_stramineus	Corydoras_aeneus	Crenicichla_britskii	Crenicichla_lepidota	Crenicichla_sp	Callichthys_callichthys	Characidium_sp	Characidium_gomesi	Characidium_laterale	Cichlasoma_paranaense	Characidium_zebra	Gymnotus_sp	Gymnotus_inaequilabiatus	Hypostomus_ancistroides	Hypostomus_iheringii	Hypostomus_khimaera	Curculionichthys_insperatus	Hisonotus_sp	Hoplias_malabaricus	Moenkhausia_bonita	Hypostomus_sp	Hypostomus_sp2	Hypostomus_aff_latirostris	Imparfinis_schubarti	Imparfinis_sp	Jupiaba_acantogaster	Leporinus_friderici	Loricaria_cf_coximensis	Loricaria_luciae	Loricariichthys_platymetopon	Moenkhausia_forestii	Moenkhausia_oligolepsis	Oligosarcus_pintoi	Piabina_argentea	Piabarchus_torrenticola	Creagrutus_meridionalis	Pyrrhulina_australis	Trachelyopterus_galeatus	Psellogrammus_kennedyi	Parodon_nasus	Poecilia_reticulata	Phenacorhamdia_tenebrosa	Rineloricaria_lanceolata	Roeboides_descalvadensis	Rhamdia_quelen	Synbranchus_marmoratus	Serrapinnus_notomelas
Parana	Lagoa.cheia	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	4	0	0	0	0
Parana	lagoinha	0	0	0	0	0	8	29	7	0	0	1	0	158	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
Parana	s.virgem	1	0	0	0	0	63	13	1	0	7	2	0	21	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	86	0	0	0	0	0	0	0	0	0	0	0	0	0
Parana	turvo	3	0	0	0	0	0	5	2	0	0	0	0	6	3	3	0	0	0	0	5	0	1	2	0	0	14	9	0	0	1	1	1	10	0	0	1	0	0	0	0	0	0	1	0	1	14	0	0	0	0	0	1	0	0	0	0	0	0	2
Parana	boa.vista	3	0	0	0	0	0	49	0	0	6	1	0	51	4	0	0	0	0	0	1	0	0	3	0	0	11	4	0	8	58	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	28	0	0	0	0	0	1	0	0	0	0	2	0	0
Parana	cab.dourados	8	0	0	0	0	32	24	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	0	0	0	0	0	0	0	1	0	0
Parana	aguafria	18	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	1	0	0
Parana	s.bento	20	0	0	0	0	7	4	0	0	0	0	0	3	6	7	0	0	0	0	0	12	1	13	0	0	36	1	0	0	3	0	43	1	0	0	11	0	0	1	0	0	1	20	0	0	1	0	0	0	1	1	0	0	2	0	2	0	1	51
Parana	nova.alvorada	20	0	0	0	0	0	66	0	0	0	0	0	0	49	1	0	0	0	0	0	0	1	1	0	1	7	3	0	0	0	2	3	4	0	0	12	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	103
Parana	passa.tempo	0	0	0	0	0	0	36	0	1	0	0	0	0	25	0	0	0	0	0	0	0	1	4	0	3	1	0	0	0	2	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	1	8
